代码,名称,最新价,今开,昨收,获取时间
832802,保丽洁,13.44,10.3,10.34,2023-02-07 19:30:59
300495,*ST美尚,2.75,2.36,2.29,2023-02-07 19:30:59
300344,立方数科,5.57,4.81,4.64,2023-02-07 19:30:59
300479,神思电子,27.1,21.5,22.58,2023-02-07 19:30:59
300114,中航电测,21.95,21.95,18.29,2023-02-07 19:30:59
688017,绿的谐波,153.24,127.7,127.7,2023-02-07 19:30:59
688316,青云科技-U,51.97,45.99,43.31,2023-02-07 19:30:59
301205,联特科技,54.26,47.28,45.22,2023-02-07 19:30:59
300539,横河精密,14.76,12.57,12.48,2023-02-07 19:30:59
300585,奥联电子,41.34,35.71,35.6,2023-02-07 19:30:59
300403,汉宇集团,8.34,7.21,7.21,2023-02-07 19:30:59
300792,壹网壹创,33.68,31.44,29.44,2023-02-07 19:30:59
688027,国盾量子,156.16,139.18,136.65,2023-02-07 19:30:59
301199,迈赫股份,27.71,24.26,24.27,2023-02-07 19:30:59
688618,三旺通信,106.6,91.71,93.71,2023-02-07 19:30:59
688787,海天瑞声,158.0,136.0,139.56,2023-02-07 19:30:59
688365,光云科技,14.4,12.26,12.73,2023-02-07 19:30:59
300002,神州泰岳,6.21,5.41,5.49,2023-02-07 19:30:59
688218,江苏北人,23.23,20.85,20.7,2023-02-07 19:30:59
688160,步科股份,43.73,38.92,38.97,2023-02-07 19:30:59
300580,贝斯特,26.8,24.2,23.94,2023-02-07 19:30:59
300660,江苏雷利,31.13,27.77,27.81,2023-02-07 19:30:59
831087,秋乐种业,7.6,6.8,6.8,2023-02-07 19:30:59
688147,微导纳米,40.49,36.83,36.6,2023-02-07 19:30:59
002218,拓日新能,6.0,5.48,5.45,2023-02-07 19:30:59
002354,天娱数科,6.12,6.12,5.56,2023-02-07 19:30:59
002369,卓翼科技,6.45,5.8,5.86,2023-02-07 19:30:59
002292,奥飞娱乐,5.91,5.8,5.37,2023-02-07 19:30:59
002093,国脉科技,8.54,7.87,7.76,2023-02-07 19:30:59
605268,王力安防,10.95,9.94,9.95,2023-02-07 19:30:59
002855,捷荣技术,12.49,12.49,11.35,2023-02-07 19:30:59
002577,雷柏科技,14.37,13.03,13.06,2023-02-07 19:30:59
603556,海兴电力,20.08,18.38,18.25,2023-02-07 19:30:59
600817,宇通重工,11.53,11.53,10.48,2023-02-07 19:30:59
603200,上海洗霸,28.99,26.34,26.35,2023-02-07 19:30:59
002980,华盛昌,37.24,33.88,33.85,2023-02-07 19:30:59
601360,三六零,8.02,7.25,7.29,2023-02-07 19:30:59
002362,汉王科技,32.63,32.63,29.66,2023-02-07 19:30:59
003021,兆威机电,70.36,64.3,63.96,2023-02-07 19:30:59
603728,鸣志电器,48.16,43.22,43.78,2023-02-07 19:30:59
002050,三花智控,27.38,25.09,24.89,2023-02-07 19:30:59
002813,路畅科技,34.31,34.31,31.19,2023-02-07 19:30:59
001270,铖昌科技,126.59,115.01,115.08,2023-02-07 19:30:59
603908,牧高笛,67.09,61.27,60.99,2023-02-07 19:30:59
002882,金龙羽,15.07,13.56,13.7,2023-02-07 19:30:59
002806,华锋股份,15.4,13.72,14.0,2023-02-07 19:30:59
000681,视觉中国,18.48,16.6,16.8,2023-02-07 19:30:59
000622,恒立实业,5.06,4.63,4.6,2023-02-07 19:30:59
605598,上海港湾,33.01,30.14,30.01,2023-02-07 19:30:59
603185,上机数控,118.95,108.17,108.14,2023-02-07 19:30:59
002963,豪尔赛,16.07,14.66,14.61,2023-02-07 19:30:59
002117,东港股份,10.9,10.5,9.91,2023-02-07 19:30:59
601059,信达证券,17.4,17.4,15.82,2023-02-07 19:30:59
603686,福龙马,11.35,10.68,10.32,2023-02-07 19:30:59
002722,物产金轮,15.66,14.24,14.24,2023-02-07 19:30:59
002792,通宇通讯,13.79,12.49,12.54,2023-02-07 19:30:59
002229,鸿博股份,8.95,7.92,8.14,2023-02-07 19:30:59
688103,国力股份,69.2,63.38,62.96,2023-02-07 19:30:59
002195,二三四五,3.22,2.91,2.93,2023-02-07 19:30:59
600393,粤泰股份,1.8,1.65,1.64,2023-02-07 19:30:59
300152,新动力,3.73,4.05,3.4,2023-02-07 19:30:59
