代码,名称,最新价,今开,昨收,获取时间
832023,N田野,4.34,4.99,3.6,2023-02-02 23:12:34
300135,宝利国际,3.76,3.59,3.13,2023-02-02 23:12:34
300293,蓝英装备,11.62,9.68,9.68,2023-02-02 23:12:34
300114,中航电测,12.7,12.7,10.58,2023-02-02 23:12:34
688147,微导纳米,38.1,33.01,31.75,2023-02-02 23:12:34
300211,亿通科技,9.6,8.0,8.0,2023-02-02 23:12:34
300045,华力创通,9.06,7.75,7.55,2023-02-02 23:12:34
688302,海创药业-U,58.46,48.28,48.72,2023-02-02 23:12:34
300414,中光防雷,10.07,8.8,8.4,2023-02-02 23:12:34
688580,伟思医疗,69.08,60.38,59.31,2023-02-02 23:12:34
688011,新光光电,29.32,25.35,25.2,2023-02-02 23:12:34
300250,初灵信息,16.79,16.2,14.45,2023-02-02 23:12:34
688047,龙芯中科,109.1,97.0,96.7,2023-02-02 23:12:34
688331,荣昌生物,92.12,82.31,81.77,2023-02-02 23:12:34
300491,通合科技,19.85,18.0,17.62,2023-02-02 23:12:34
301017,漱玉平民,21.43,19.27,19.11,2023-02-02 23:12:34
688217,睿昂基因,51.12,45.46,45.61,2023-02-02 23:12:34
688172,燕东微,23.5,21.26,21.15,2023-02-02 23:12:34
831087,秋乐种业,7.02,6.65,6.33,2023-02-02 23:12:34
000560,我爱我家,3.03,2.74,2.75,2023-02-02 23:12:34
000509,华塑控股,4.35,3.94,3.95,2023-02-02 23:12:34
002512,达华智能,4.36,3.9,3.96,2023-02-02 23:12:34
600070,浙江富润,6.33,5.76,5.75,2023-02-02 23:12:34
002842,翔鹭钨业,10.29,10.05,9.35,2023-02-02 23:12:34
002167,东方锆业,8.0,8.0,7.27,2023-02-02 23:12:34
002209,达 意 隆,14.69,14.69,13.35,2023-02-02 23:12:34
000729,燕京啤酒,12.39,11.31,11.26,2023-02-02 23:12:34
600063,皖维高新,7.13,6.5,6.48,2023-02-02 23:12:34
002835,同为股份,17.88,17.88,16.25,2023-02-02 23:12:34
002549,凯美特气,17.56,16.12,15.96,2023-02-02 23:12:34
000066,中国长城,13.61,12.83,12.37,2023-02-02 23:12:34
002315,焦点科技,21.63,19.51,19.66,2023-02-02 23:12:34
000886,海南高速,5.6,5.05,5.09,2023-02-02 23:12:34
002845,同兴达,19.0,17.9,17.27,2023-02-02 23:12:34
601059,信达证券,13.07,13.07,11.88,2023-02-02 23:12:34
002536,飞龙股份,10.11,9.19,9.19,2023-02-02 23:12:34
603983,丸美股份,36.6,33.5,33.27,2023-02-02 23:12:34
002362,汉王科技,24.51,24.51,22.28,2023-02-02 23:12:34
002767,先锋电子,17.26,15.63,15.69,2023-02-02 23:12:34
003013,地铁设计,19.46,17.66,17.69,2023-02-02 23:12:34
001215,千味央厨,79.71,72.46,72.46,2023-02-02 23:12:34
605089,味知香,73.56,67.55,66.87,2023-02-02 23:12:34
603281,江瀚新材,62.02,62.02,56.38,2023-02-02 23:12:34
605168,三人行,122.29,111.0,111.17,2023-02-02 23:12:34
603893,瑞芯微,84.03,77.63,76.39,2023-02-02 23:12:34
603711,香飘飘,17.93,16.5,16.3,2023-02-02 23:12:34
600736,苏州高新,5.5,5.15,5.0,2023-02-02 23:12:34
603173,福斯达,35.76,35.5,32.51,2023-02-02 23:12:34
001266,宏英智能,33.68,30.83,30.62,2023-02-02 23:12:34
002877,智能自控,10.68,10.68,9.71,2023-02-02 23:12:34
002795,永和智控,10.57,9.65,9.61,2023-02-02 23:12:34
603177,德创环保,17.84,16.31,16.22,2023-02-02 23:12:34
002757,南兴股份,14.43,13.36,13.12,2023-02-02 23:12:34
603106,恒银科技,6.94,6.36,6.31,2023-02-02 23:12:34
002401,中远海科,20.83,18.21,18.94,2023-02-02 23:12:34
000409,云鼎科技,8.16,7.4,7.42,2023-02-02 23:12:34
600084,中葡股份,7.83,7.13,7.12,2023-02-02 23:12:34
002347,泰尔股份,5.85,5.7,5.32,2023-02-02 23:12:34
002348,高乐股份,4.53,4.21,4.12,2023-02-02 23:12:34
002251,步 步 高,6.64,6.01,6.04,2023-02-02 23:12:34
002721,金一文化,3.67,3.35,3.34,2023-02-02 23:12:34
688266,泽璟制药-U,53.34,48.55,48.55,2023-02-02 23:12:34
300512,中亚股份,8.38,7.71,7.63,2023-02-02 23:12:34
300858,科拓生物,35.65,32.28,32.46,2023-02-02 23:12:34
688197,首药控股-U,39.52,36.0,36.03,2023-02-02 23:12:34
300550,和仁科技,16.65,15.2,15.2,2023-02-02 23:12:34
301277,新天地,34.0,31.3,31.07,2023-02-02 23:12:34
301230,泓博医药,64.15,58.3,58.7,2023-02-02 23:12:34
688004,博汇科技,26.96,24.68,24.69,2023-02-02 23:12:34
688027,国盾量子,129.15,119.0,118.35,2023-02-02 23:12:34
300585,奥联电子,36.0,33.1,33.01,2023-02-02 23:12:34
688319,欧林生物,19.35,17.72,17.77,2023-02-02 23:12:34
300364,中文在线,11.66,10.72,10.72,2023-02-02 23:12:34
600211,西藏药业,48.8,45.1,44.89,2023-02-02 23:12:34
301040,中环海陆,24.95,22.84,22.96,2023-02-02 23:12:34
300779,惠城环保,36.64,33.33,33.73,2023-02-02 23:12:34
688697,纽威数控,28.21,25.79,25.99,2023-02-02 23:12:34
002294,信立泰,39.09,36.78,36.09,2023-02-02 23:12:34
688626,翔宇医疗,37.96,35.2,35.07,2023-02-02 23:12:34
300266,兴源环境,3.82,3.47,3.53,2023-02-02 23:12:34
300418,昆仑万维,18.23,17.2,16.86,2023-02-02 23:12:34
