代码,名称,最新价,今开,昨收,获取时间
301373,N凌玮,43.35,44.0,33.73,2023-02-08 23:10:50
301260,N格力博,38.3,37.0,30.85,2023-02-08 23:10:50
300317,珈伟新能,6.88,5.88,5.73,2023-02-08 23:10:50
688787,海天瑞声,189.6,158.92,158.0,2023-02-08 23:10:50
300114,中航电测,26.34,26.34,21.95,2023-02-08 23:10:50
300875,捷强装备,37.27,35.5,31.06,2023-02-08 23:10:50
300309,*ST吉艾,1.04,0.86,0.87,2023-02-08 23:10:50
300473,德尔股份,23.96,21.0,20.06,2023-02-08 23:10:50
688310,迈得医疗,34.7,29.8,30.01,2023-02-08 23:10:50
832735,德源药业,23.29,23.0,20.18,2023-02-08 23:10:50
300848,美瑞新材,39.0,34.55,34.42,2023-02-08 23:10:50
300890,翔丰华,49.91,45.88,44.5,2023-02-08 23:10:50
301205,联特科技,60.66,62.0,54.26,2023-02-08 23:10:50
300530,达志科技,30.56,28.3,27.38,2023-02-08 23:10:50
688737,中自科技,49.62,45.65,44.59,2023-02-08 23:10:50
688500,慧辰股份,32.6,28.8,29.39,2023-02-08 23:10:50
300297,*ST蓝盾,1.61,1.45,1.46,2023-02-08 23:10:50
002229,鸿博股份,9.85,9.85,8.95,2023-02-08 23:10:50
002364,中恒电气,8.54,7.9,7.76,2023-02-08 23:10:50
002748,世龙实业,12.49,11.35,11.35,2023-02-08 23:10:50
002927,泰永长征,15.13,13.86,13.75,2023-02-08 23:10:50
002722,物产金轮,17.23,16.66,15.66,2023-02-08 23:10:50
002598,山东章鼓,14.16,12.93,12.87,2023-02-08 23:10:50
002577,雷柏科技,15.81,15.81,14.37,2023-02-08 23:10:50
002882,金龙羽,16.58,16.2,15.07,2023-02-08 23:10:50
002253,川大智胜,18.9,17.3,17.18,2023-02-08 23:10:50
002951,金时科技,10.99,9.99,9.99,2023-02-08 23:10:50
002855,捷荣技术,13.74,13.02,12.49,2023-02-08 23:10:50
001283,豪鹏科技,63.56,59.0,57.78,2023-02-08 23:10:50
601059,信达证券,19.14,19.14,17.4,2023-02-08 23:10:50
002350,北京科锐,8.25,7.53,7.5,2023-02-08 23:10:50
002339,积成电子,9.46,8.67,8.6,2023-02-08 23:10:50
001255,博菲电气,39.27,36.2,35.7,2023-02-08 23:10:50
600847,万里股份,16.3,14.8,14.82,2023-02-08 23:10:50
002771,真视通,15.1,13.7,13.73,2023-02-08 23:10:50
002490,山东墨龙,4.96,4.65,4.51,2023-02-08 23:10:50
601360,三六零,8.82,8.82,8.02,2023-02-08 23:10:50
600817,宇通重工,12.68,12.68,11.53,2023-02-08 23:10:50
002860,星帅尔,15.88,14.45,14.44,2023-02-08 23:10:50
002528,英飞拓,11.36,10.28,10.33,2023-02-08 23:10:50
002272,川润股份,7.84,7.15,7.13,2023-02-08 23:10:50
002713,东易日盛,7.73,6.96,7.03,2023-02-08 23:10:50
002328,新朋股份,6.31,5.75,5.74,2023-02-08 23:10:50
002341,新纶新材,4.44,4.2,4.04,2023-02-08 23:10:50
300895,铜牛信息,45.5,42.02,41.46,2023-02-08 23:10:50
002362,汉王科技,35.59,34.2,32.63,2023-02-08 23:10:50
300410,正业科技,12.2,11.2,11.2,2023-02-08 23:10:50
301268,铭利达,63.05,57.98,57.97,2023-02-08 23:10:50
300495,*ST美尚,2.99,2.87,2.75,2023-02-08 23:10:50
603081,大丰实业,15.22,14.02,14.0,2023-02-08 23:10:50
603255,鼎际得,67.91,62.25,62.5,2023-02-08 23:10:50
300477,合纵科技,6.04,5.56,5.57,2023-02-08 23:10:50
300648,星云股份,43.64,40.24,40.3,2023-02-08 23:10:50
300707,威唐工业,20.83,19.6,19.24,2023-02-08 23:10:50
002348,高乐股份,5.41,5.13,5.0,2023-02-08 23:10:50
300840,酷特智能,11.6,10.78,10.73,2023-02-08 23:10:50
300160,秀强股份,7.8,7.2,7.22,2023-02-08 23:10:50
