代码,名称,最新价,今开,昨收,获取时间
688228,开普云,46.68,39.9,38.9,2023-02-03 13:09:58
300114,中航电测,15.24,15.24,12.7,2023-02-03 13:09:58
300071,福石控股,5.53,4.63,4.61,2023-02-03 13:09:58
300553,集智股份,69.89,61.28,60.6,2023-02-03 13:09:58
300096,易联众,7.56,6.56,6.65,2023-02-03 13:09:58
300840,酷特智能,11.0,9.83,9.71,2023-02-03 13:09:58
688156,路德环境,37.11,35.63,33.05,2023-02-03 13:09:58
688327,云从科技-UW,26.73,24.5,23.88,2023-02-03 13:09:58
835305,云创数据,12.7,11.58,11.49,2023-02-03 13:09:58
002512,达华智能,4.8,4.67,4.36,2023-02-03 13:09:58
002347,泰尔股份,6.44,6.44,5.85,2023-02-03 13:09:58
603598,引力传媒,10.31,9.36,9.37,2023-02-03 13:09:58
002806,华锋股份,12.73,11.63,11.57,2023-02-03 13:09:58
601059,信达证券,14.38,14.38,13.07,2023-02-03 13:09:58
002354,天娱数科,5.05,4.7,4.59,2023-02-03 13:09:58
002855,捷荣技术,10.32,9.5,9.38,2023-02-03 13:09:58
603059,倍加洁,22.51,21.7,20.46,2023-02-03 13:09:58
003042,中农联合,28.99,26.35,26.35,2023-02-03 13:09:58
002877,智能自控,11.75,10.99,10.68,2023-02-03 13:09:58
002835,同为股份,19.67,19.67,17.88,2023-02-03 13:09:58
002842,翔鹭钨业,11.32,10.69,10.29,2023-02-03 13:09:58
603660,苏州科达,6.38,5.83,5.8,2023-02-03 13:09:58
600936,广西广电,4.73,4.25,4.3,2023-02-03 13:09:58
002235,安妮股份,10.67,9.37,9.7,2023-02-03 13:09:58
000711,京蓝科技,2.97,2.7,2.7,2023-02-03 13:09:58
002362,汉王科技,26.96,26.96,24.51,2023-02-03 13:09:58
003004,声迅股份,34.89,31.91,31.72,2023-02-03 13:09:58
002642,荣联科技,9.14,8.28,8.31,2023-02-03 13:09:58
002103,广博股份,6.31,5.7,5.74,2023-02-03 13:09:58
002369,卓翼科技,5.98,5.42,5.44,2023-02-03 13:09:58
002190,成飞集成,31.35,29.51,28.63,2023-02-03 13:09:58
834033,康普化学,27.4,25.1,25.03,2023-02-03 13:09:58
688426,康为世纪,45.03,42.88,41.34,2023-02-03 13:09:58
