代码,名称,最新价,今开,昨开,昨收,获取时间,A
"	000001",平安银行,14.24,14.45,14.74,14.6,2023/2/3 11:06,-2.571428571
"	000005",ST星源,1.83,1.84,1.86,1.84,2023/2/3 11:06,-0.5
"	000005",ST星源,1.82,1.84,1.86,1.84,2023/2/3 11:06,-1
"	000006",深振业Ａ,5.44,5.51,5.51,5.53,2023/2/3 11:06,4.5
"	000006",深振业Ａ,5.45,5.51,5.51,5.53,2023/2/3 11:06,4
"	000008",神州高铁,2.42,2.46,2.48,2.46,2023/2/3 11:06,-2
"	000009",中国宝安,12.37,12.52,12.73,12.5,2023/2/3 11:06,-0.565217391
"	000010",美丽生态,3.47,3.47,3.47,3.46,2023/2/3 11:06,1
"	000011",深物业A,11.23,11.55,11.3,11.46,2023/2/3 11:06,1.4375
"	000012",南  玻Ａ,7.12,7.22,7.25,7.2,2023/2/3 11:06,-1.6
"	000014",沙河股份,10.67,10.9,10.67,10.95,2023/2/3 11:06,1
"	000016",深康佳Ａ,4.78,4.83,4.8,4.81,2023/2/3 11:06,3
"	000017",深中华A,4.67,4.75,4.86,4.79,2023/2/3 11:06,-1.714285714
"	000020",深华发Ａ,10.04,10.17,10.15,10.15,2023/2/3 11:06,#NAME?
"	000021",深科技,11.99,12.1,11.91,12.11,2023/2/3 11:06,0.6
"	000021",深科技,12,12.1,11.91,12.11,2023/2/3 11:06,0.55
"	000021",深科技,12,12.1,11.91,12.11,2023/2/3 11:06,0.55
"	000023",深天地Ａ,11.77,11.69,11.8,11.69,2023/2/3 11:06,0.727272727
"	000025",特  力Ａ,19.66,19.91,20.14,19.91,2023/2/3 11:06,-1.086956522
"	000026",飞亚达,12.99,12.58,13.22,12.49,2023/2/3 11:06,0.684931507
"	000027",深圳能源,6.15,6.24,6.26,6.22,2023/2/3 11:06,-1.75
"	000028",国药一致,34.81,35.08,35.07,35.25,2023/2/3 11:06,2.444444444
"	000029",深深房Ａ,12.53,12.55,12.88,12.65,2023/2/3 11:06,-0.52173913
"	000030",富奥股份,4.94,5.02,5.08,5.01,2023/2/3 11:06,-1
"	000032",深桑达Ａ,28.29,27.7,27.51,27.98,2023/2/3 11:06,-0.659574468
"	000034",神州数码,24.62,24.52,24.8,24.77,2023/2/3 11:06,-5
"	000034",神州数码,24.61,24.52,24.8,24.77,2023/2/3 11:06,-5.333333333
"	000035",中国天楹,5.35,5.44,5.6,5.43,2023/2/3 11:06,-0.470588235
"	000036",华联控股,4.03,4.07,4.08,4.07,2023/2/3 11:06,-4
"	000037",深南电A,8.35,8.57,8.46,8.57,2023/2/3 11:06,2
"	000038",*ST大通,4.36,4.35,4.42,4.37,2023/2/3 11:06,-0.2
"	000039",中集集团,7.19,7.26,7.3,7.28,2023/2/3 11:06,-4.5
"	000040",东旭蓝天,4.22,4.27,4.37,4.29,2023/2/3 11:06,-0.875
"	000042",中洲控股,8.21,8.33,8.29,8.32,2023/2/3 11:06,3.666666667
"	000045",深纺织Ａ,11.48,11.47,11.4,11.46,2023/2/3 11:06,-0.333333333
"	000046",泛海控股,1.27,1.29,1.31,1.3,2023/2/3 11:06,-3
"	000048",京基智农,19.99,20.05,20.02,20.2,2023/2/3 11:06,1.166666667
"	000049",德赛电池,48.25,50.29,48.9,50.98,2023/2/3 11:06,1.3125
"	000050",深天马Ａ,9.38,9.42,9.52,9.45,2023/2/3 11:06,-1
"	000056",皇庭国际,4.77,4.83,4.86,4.87,2023/2/3 11:06,10
"	000058",深 赛 格,7.05,7.17,7.16,7.18,2023/2/3 11:06,6.5
"	000059",华锦股份,7.15,7.2,7.35,7.21,2023/2/3 11:06,-0.428571429
"	000060",中金岭南,4.44,4.5,4.57,4.53,2023/2/3 11:06,-2.25
"	000061",农 产 品,5.6,5.67,5.67,5.66,2023/2/3 11:06,-6
"	000062",深圳华强,12.56,12.73,12.66,12.69,2023/2/3 11:06,4.333333333
"	000062",深圳华强,12.56,12.73,12.66,12.69,2023/2/3 11:06,4.333333333
"	000065",北方国际,9.78,10.03,9.86,10.03,2023/2/3 11:06,1.470588235
"	000066",中国长城,12.87,13.58,12.83,13.61,2023/2/3 11:06,0.948717949
"	000068",华控赛格,4.14,4.18,4.19,4.19,2023/2/3 11:06,#NAME?
"	000069",华侨城Ａ,5.28,5.35,5.34,5.36,2023/2/3 11:06,4
"	000069",华侨城Ａ,5.28,5.35,5.34,5.36,2023/2/3 11:06,4
"	000078",海王生物,3.36,3.4,3.4,3.38,2023/2/3 11:06,-1
"	000088",盐 田 港,5.26,5.34,5.34,5.32,2023/2/3 11:06,-3
"	000096",广聚能源,8.41,8.54,8.52,8.53,2023/2/3 11:06,12
"	000099",中信海直,7.63,7.67,7.71,7.68,2023/2/3 11:06,-1.666666667
"	000100",TCL科技,4.14,4.19,4.24,4.19,2023/2/3 11:06,-1
"	000150",*ST宜康,1.14,1.16,1.21,1.18,2023/2/3 11:06,-1.333333333
"	000151",中成股份,14.45,14.68,14.68,14.78,2023/2/3 11:06,3.3
"	000153",丰原药业,10.12,10.35,10.32,10.34,2023/2/3 11:06,11
"	000156",华数传媒,7.87,7.78,7.82,7.78,2023/2/3 11:06,2.25
"	000157",中联重科,5.72,5.8,5.87,5.8,2023/2/3 11:06,-1.142857143
"	000158",常山北明,6.2,6.18,6.16,6.24,2023/2/3 11:06,0.5
"	000159",国际实业,8.11,8.18,8.2,8.2,2023/2/3 11:06,#NAME?
"	000301",东方盛虹,15.38,15.7,15.97,15.84,2023/2/3 11:06,-3.538461538
"	000333",美的集团,53.15,53.7,55.45,53.96,2023/2/3 11:06,-0.543624161
"	000400",许继电气,22,22.13,22.42,22.2,2023/2/3 11:06,-0.909090909
"	000400",许继电气,22.01,22.13,22.42,22.2,2023/2/3 11:06,-0.863636364
"	000403",派林生物,24.36,24.51,24.03,24.79,2023/2/3 11:06,0.565789474
"	000407",胜利股份,4.04,4.09,4.12,4.09,2023/2/3 11:06,-1.666666667
"	000408",藏格矿业,27.76,28.18,28.19,28.25,2023/2/3 11:06,8.166666667
"	000409",云鼎科技,7.78,8.14,7.4,8.16,2023/2/3 11:06,0.5
