股票代码,名称,版块,行业,交易日期,开盘价,最高价,最低价,收盘价,昨收价(前复权),涨跌额,涨跌幅,成交量,成交额(千元),涨跌幅（价）
000806,*ST银河,主板,电气设备,20230201,1.79,1.79,1.79,1.79,1.88,-0.09,-4.7872,27134.0,4856.986,0.0
000807,云铝股份,主板,铝,20230201,13.78,13.98,13.56,13.8,13.45,0.35,2.6022,535233.71,736918.636,-0.02000000000000135
000809,ST新城,主板,区域地产,20230201,3.15,3.16,3.13,3.15,3.15,0.0,0.0,26098.0,8209.241,0.0
000810,创维数字,主板,家用电器,20230201,15.5,16.36,15.22,16.22,15.25,0.97,6.3607,545541.05,866646.877,-0.7199999999999989
000811,冰轮环境,主板,工程机械,20230201,12.38,12.75,12.3,12.65,12.3,0.35,2.8455,128539.56,161899.158,-0.2699999999999996
000812,陕西金叶,主板,广告包装,20230201,6.41,6.55,6.35,6.51,6.41,0.1,1.5601,713943.19,462222.531,-0.09999999999999964
000813,德展健康,主板,化学制药,20230201,3.64,3.67,3.59,3.67,3.62,0.05,1.3812,300314.82,109184.904,-0.029999999999999805
000815,美利云,主板,造纸,20230201,15.02,15.69,14.95,15.41,15.21,0.2,1.3149,651940.97,994334.493,-0.39000000000000057
000816,智慧农业,主板,农用机械,20230201,3.84,3.9,3.82,3.89,3.85,0.04,1.039,291645.89,112595.338,-0.050000000000000266
000818,航锦科技,主板,化工原料,20230201,33.3,33.55,33.1,33.35,33.05,0.3,0.9077,35037.56,116907.374,-0.05000000000000426
000819,岳阳兴长,主板,石油加工,20230201,24.36,25.62,24.27,25.02,24.36,0.66,2.7094,82307.92,204877.994,-0.6600000000000001
000820,神雾节能,主板,环境保护,20230201,4.85,4.93,4.79,4.91,4.82,0.09,1.8672,122478.7,59582.018,-0.0600000000000005
000821,京山轻机,主板,电气设备,20230201,24.29,25.08,23.74,24.55,23.47,1.08,4.6016,1209148.74,2931617.968,-0.26000000000000156
000822,山东海化,主板,化工原料,20230201,8.37,8.52,8.31,8.51,8.3,0.21,2.5301,261950.4,220911.698,-0.14000000000000057
000823,超声电子,主板,元器件,20230201,10.15,10.32,10.1,10.32,10.1,0.22,2.1782,80548.74,82385.422,-0.16999999999999993
000825,太钢不锈,主板,特种钢,20230201,4.61,4.68,4.59,4.67,4.59,0.08,1.7429,359292.85,167125.922,-0.05999999999999961
000826,启迪环境,主板,环境保护,20230201,3.62,3.64,3.58,3.63,3.6,0.03,0.8333,132928.03,47960.505,-0.009999999999999787
000828,东莞控股,主板,路桥,20230201,9.43,9.5,9.38,9.49,9.41,0.08,0.8502,38258.12,36096.195,-0.0600000000000005
000829,天音控股,主板,其他商业,20230201,10.26,10.49,10.22,10.48,10.23,0.25,2.4438,230915.94,239652.334,-0.22000000000000064
000830,鲁西化工,主板,农药化肥,20230201,13.43,13.54,13.36,13.54,13.42,0.12,0.8942,137697.2,185388.1,-0.10999999999999943
000831,中国稀土,主板,小金属,20230201,41.17,45.28,40.88,43.79,41.25,2.54,6.1576,846688.2,3699019.55,-2.6199999999999974
000833,粤桂股份,主板,食品,20230201,7.2,7.33,7.17,7.31,7.19,0.12,1.669,117330.1,85222.452,-0.10999999999999943
000836,富通信息,主板,通信设备,20230201,3.11,3.18,3.09,3.18,3.11,0.07,2.2508,479312.99,151023.074,-0.07000000000000028
000837,秦川机床,主板,机床制造,20230201,10.9,11.04,10.82,11.01,10.93,0.08,0.7319,345423.94,378383.48,-0.10999999999999943
000838,财信发展,主板,区域地产,20230201,5.74,5.74,5.62,5.68,5.74,-0.06,-1.0453,120195.26,67957.123,0.0600000000000005
000839,ST国安,主板,综合类,20230201,2.59,2.61,2.51,2.57,2.6,-0.03,-1.1538,427765.84,109543.351,0.020000000000000018
000848,承德露露,主板,软饮料,20230201,8.94,8.95,8.77,8.9,8.92,-0.02,-0.2242,159733.3,141180.633,0.03999999999999915
000850,华茂股份,主板,纺织,20230201,4.34,4.48,4.12,4.21,4.16,0.05,1.2019,1011548.48,430831.24,0.1299999999999999
000851,高鸿股份,主板,通信设备,20230201,5.58,5.82,5.54,5.77,5.58,0.19,3.405,1058569.47,603761.964,-0.1899999999999995
000852,石化机械,主板,化工机械,20230201,6.21,6.26,6.17,6.25,6.18,0.07,1.1327,94058.79,58381.191,-0.040000000000000036
000856,冀东装备,主板,专用机械,20230201,9.03,9.21,8.93,9.16,9.06,0.1,1.1038,86585.96,78923.637,-0.13000000000000078
000858,五粮液,主板,白酒,20230201,208.5,210.6,203.76,210.06,209.0,1.06,0.5072,256552.23,5334911.717,-1.5600000000000023
000859,国风新材,主板,塑料,20230201,5.75,5.85,5.75,5.84,5.73,0.11,1.9197,70597.63,41026.961,-0.08999999999999986
000860,顺鑫农业,主板,白酒,20230201,27.15,27.32,26.66,27.28,27.14,0.14,0.5158,125423.07,338634.208,-0.13000000000000256
000861,海印股份,主板,其他商业,20230201,2.34,2.37,2.29,2.36,2.35,0.01,0.4255,563131.03,130951.386,-0.020000000000000018
000862,银星能源,主板,新型电力,20230201,6.91,6.92,6.84,6.91,6.87,0.04,0.5822,99753.01,68638.0,0.0
000863,三湘印象,主板,区域地产,20230201,4.81,4.85,4.66,4.84,4.81,0.03,0.6237,833467.04,395642.637,-0.03000000000000025
000868,安凯客车,主板,汽车整车,20230201,6.93,7.24,6.92,7.14,6.96,0.18,2.5862,665260.19,470473.74,-0.20999999999999996
000869,张裕A,主板,红黄酒,20230201,30.28,30.46,30.08,30.43,30.32,0.11,0.3628,11851.34,35917.081,-0.14999999999999858
000875,吉电股份,主板,火力发电,20230201,6.05,6.06,6.0,6.06,6.04,0.02,0.3311,249900.77,150732.087,-0.009999999999999787
000876,新希望,主板,饲料,20230201,13.12,13.32,13.04,13.29,13.11,0.18,1.373,334183.29,440785.113,-0.16999999999999993
000877,天山股份,主板,水泥,20230201,9.08,9.23,9.05,9.23,9.07,0.16,1.7641,118908.66,108769.243,-0.15000000000000036
002486,嘉麟杰,中小板,服饰,20230201,3.65,3.67,3.62,3.67,3.63,0.04,1.1019,207527.68,75745.919,-0.020000000000000018
002487,大金重工,中小板,电气设备,20230201,47.28,49.32,46.6,47.43,47.33,0.1,0.2113,157885.84,753283.574,-0.14999999999999858
002488,金固股份,中小板,汽车配件,20230201,6.71,6.83,6.68,6.82,6.7,0.12,1.791,167362.83,113387.799,-0.11000000000000032
002489,浙江永强,中小板,家居用品,20230201,3.66,3.75,3.65,3.75,3.67,0.08,2.1798,480444.46,177733.415,-0.08999999999999986
002490,山东墨龙,中小板,化工机械,20230201,4.41,4.48,4.39,4.46,4.41,0.05,1.1338,108504.63,48150.941,-0.04999999999999982
002491,通鼎互联,中小板,通信设备,20230201,4.89,4.95,4.86,4.95,4.85,0.1,2.0619,142162.78,69866.918,-0.0600000000000005
002492,恒基达鑫,中小板,仓储物流,20230201,6.94,6.97,6.86,6.97,6.94,0.03,0.4323,99649.16,68890.055,-0.02999999999999936
002493,荣盛石化,中小板,化纤,20230201,13.21,13.64,13.15,13.32,13.24,0.08,0.6042,710402.18,950301.308,-0.10999999999999943
002494,华斯股份,中小板,服饰,20230201,4.86,5.34,4.85,5.34,4.85,0.49,10.1031,405297.76,207064.395,-0.47999999999999954
002495,佳隆股份,中小板,食品,20230201,2.73,2.76,2.71,2.76,2.72,0.04,1.4706,225156.71,61554.588,-0.029999999999999805
002496,辉丰股份,中小板,农药化肥,20230201,2.39,2.46,2.35,2.43,2.37,0.06,2.5316,518845.4,125261.303,-0.040000000000000036
002497,雅化集团,中小板,化工原料,20230201,25.8,26.17,25.8,26.14,25.78,0.36,1.3964,211796.28,551727.223,-0.33999999999999986
002498,汉缆股份,中小板,电气设备,20230201,4.3,4.33,4.27,4.33,4.28,0.05,1.1682,217890.16,93745.647,-0.03000000000000025
002499,*ST科林,中小板,环境保护,20230201,1.6,1.76,1.6,1.76,1.68,0.08,4.7619,220178.64,36966.108,-0.15999999999999992
002500,山西证券,中小板,证券,20230201,5.94,6.05,5.91,6.05,5.92,0.13,2.1959,725669.96,434061.361,-0.10999999999999943
002501,利源精制,中小板,铝,20230201,2.0,2.01,1.98,1.99,1.98,0.01,0.5051,306695.2,61096.748,0.010000000000000009
002502,鼎龙文化,中小板,影视音像,20230201,3.63,4.0,3.62,3.81,3.65,0.16,4.3836,758651.06,288563.267,-0.18000000000000016
002503,搜于特,中小板,服饰,20230201,1.25,1.27,1.24,1.26,1.25,0.01,0.8,666546.28,83561.936,-0.010000000000000009
002504,ST弘高,中小板,装修装饰,20230201,1.45,1.5,1.44,1.49,1.46,0.03,2.0548,116818.02,17289.922,-0.040000000000000036
002505,鹏都农牧,中小板,商贸代理,20230201,2.84,3.04,2.83,2.99,2.83,0.16,5.6537,1579891.83,471182.122,-0.15000000000000036
002506,协鑫集成,中小板,电气设备,20230201,3.25,3.33,3.24,3.27,3.24,0.03,0.9259,1002453.89,328350.84,-0.020000000000000018
002507,涪陵榨菜,中小板,食品,20230201,26.8,26.8,26.49,26.77,26.64,0.13,0.488,114318.85,304717.61,0.030000000000001137
002508,老板电器,中小板,家用电器,20230201,30.12,30.33,29.45,29.85,30.01,-0.16,-0.5332,72129.24,215340.677,0.2699999999999996
002510,天汽模,中小板,汽车配件,20230201,4.34,4.38,4.3,4.38,4.33,0.05,1.1547,210520.0,91337.554,-0.040000000000000036
002511,中顺洁柔,中小板,造纸,20230201,12.8,12.83,12.43,12.65,12.8,-0.15,-1.1719,189050.29,238155.567,0.15000000000000036
002512,达华智能,中小板,元器件,20230201,3.8,4.0,3.8,3.96,3.82,0.14,3.6649,603895.54,238109.714,-0.16000000000000014
002513,蓝丰生化,中小板,农药化肥,20230201,5.58,5.7,5.53,5.61,5.53,0.08,1.4467,122234.4,68363.145,-0.03000000000000025
002514,宝馨科技,中小板,机械基件,20230201,12.09,12.15,11.7,12.15,12.12,0.03,0.2475,614644.32,735090.819,-0.0600000000000005
002515,金字火腿,中小板,食品,20230201,4.32,4.39,4.29,4.38,4.32,0.06,1.3889,156383.76,67852.821,-0.05999999999999961
002516,旷达科技,中小板,汽车配件,20230201,5.56,5.62,5.53,5.6,5.54,0.06,1.083,176938.96,98661.642,-0.040000000000000036
002517,恺英网络,中小板,互联网,20230201,7.92,8.18,7.87,8.08,7.88,0.2,2.5381,356814.94,285896.335,-0.16000000000000014
002518,科士达,中小板,电气设备,20230201,58.0,58.22,56.8,57.95,58.05,-0.1,-0.1723,93503.01,536127.444,0.04999999999999716
002519,银河电子,中小板,通信设备,20230201,5.09,5.23,5.09,5.22,5.08,0.14,2.7559,345622.09,178910.803,-0.1299999999999999
002520,日发精机,中小板,机床制造,20230201,8.11,8.17,7.96,8.02,8.09,-0.07,-0.8653,579839.07,465092.384,0.08999999999999986
002521,齐峰新材,中小板,造纸,20230201,5.51,5.53,5.43,5.53,5.49,0.04,0.7286,39510.01,21684.95,-0.020000000000000462
002522,浙江众成,中小板,塑料,20230201,5.64,5.74,5.62,5.74,5.64,0.1,1.773,100282.0,57009.285,-0.10000000000000053
002523,天桥起重,中小板,工程机械,20230201,3.25,3.29,3.22,3.27,3.25,0.02,0.6154,249579.02,81231.591,-0.020000000000000018
002524,光正眼科,中小板,医疗保健,20230201,7.3,7.32,7.21,7.32,7.27,0.05,0.6878,102515.88,74482.661,-0.020000000000000462
002526,山东矿机,中小板,工程机械,20230201,2.45,2.54,2.44,2.53,2.45,0.08,3.2653,651509.78,162857.511,-0.07999999999999963
002527,新时达,中小板,电器仪表,20230201,7.51,8.11,7.44,7.79,7.37,0.42,5.6988,969125.85,750955.675,-0.28000000000000025
002528,英飞拓,中小板,IT设备,20230201,11.43,11.94,11.21,11.81,12.18,-0.37,-3.0378,1485971.22,1708756.708,-0.3800000000000008
002529,海源复材,中小板,专用机械,20230201,19.27,20.6,19.0,20.07,19.15,0.92,4.8042,203018.99,399444.103,-0.8000000000000007
300158,振东制药,创业板,化学制药,20230201,6.71,6.92,6.69,6.91,6.7,0.21,3.1343,374475.76,255144.605,-0.20000000000000018
300159,ST新研,创业板,航空,20230201,3.22,3.45,3.13,3.25,3.02,0.23,7.6159,1703244.78,559508.829,-0.029999999999999805
300160,秀强股份,创业板,家用电器,20230201,6.91,7.03,6.88,6.99,6.88,0.11,1.5988,108192.71,75366.525,-0.08000000000000007
300161,华中数控,创业板,机床制造,20230201,26.73,27.38,26.58,27.23,26.73,0.5,1.8706,62215.02,168206.259,-0.5
300162,雷曼光电,创业板,元器件,20230201,6.98,7.08,6.96,7.07,6.95,0.12,1.7266,46113.01,32397.435,-0.08999999999999986
300163,先锋新材,创业板,其他建材,20230201,3.3,3.41,3.3,3.4,3.33,0.07,2.1021,87950.0,29643.449,-0.10000000000000009
300164,通源石油,创业板,石油开采,20230201,4.24,4.35,4.23,4.34,4.25,0.09,2.1176,177970.04,76480.538,-0.09999999999999964
300165,天瑞仪器,创业板,电器仪表,20230201,5.1,5.3,5.08,5.25,5.16,0.09,1.7442,377680.64,196155.378,-0.15000000000000036
300166,东方国信,创业板,软件服务,20230201,8.52,8.96,8.49,8.96,8.5,0.46,5.4118,524018.59,460065.66,-0.4400000000000013
300167,迪威迅,创业板,软件服务,20230201,5.17,5.35,5.17,5.34,5.19,0.15,2.8902,73821.1,38976.335,-0.16999999999999993
